OBJECTID,ID,P_UST,P_LDPNT_D2,P_DSLPM_D2,P_CANCR_D2,P_RESP_D2,P_PTRAF_D2,P_PWDIS_D2,P_PNPL_D2,P_PRMP_D2,P_PTSDF_D2,P_OZONE_D2,P_PM25_D2,P_UST_D2
40389,110010046002,98.54101066,29.18166656,42.0776652,52.50361347,52.44290685,7.788808445,48.03816058,36.27541651,32.7860457,4.998529615,55.33980049,55.30062689,7.11210087
40390,110010047011,88.69995255,85.78878054,92.50371896,88.32318439,87.98938292,98.87442099,,93.55141597,87.30883119,99.24623275,84.61444214,83.56965133,92.84660971
40391,110010047012,93.06786126,82.07532022,92.74484666,88.68471558,88.3531903,99.26005576,67.18285746,93.36207474,86.99762434,99.47549975,85.02909665,83.93424052,95.31055996
40392,110010047021,92.84600822,44.53998622,19.8593691,36.70582786,36.32472351,0.48590596,48.84489302,15.63787686,21.16700703,0.597909417,45.68787981,45.25750842,4.991199186
40393,110010048011,99.68838769,15.278905,18.01247598,33.87545868,33.48821542,0.980222101,35.69878446,17.95266559,14.39341714,0.499655441,43.55251298,43.11212976,0.358656325
40394,110010048021,93.46817954,21.96692687,9.944484611,24.29854084,24.09810209,0.800437281,36.13961002,10.98002245,12.42590054,0.317228499,35.65422533,34.99655807,2.151324873
40395,110010048022,89.83791784,88.16406628,93.51367505,89.80567655,89.50706138,97.99422952,77.33008328,93.05763707,87.48478467,99.64745984,86.31732342,85.14077196,94.06028406
40396,110010049011,99.09333331,87.02801461,83.74373938,77.17586731,76.94761988,96.8653796,75.25023936,84.43876691,81.77595486,98.25964685,74.09101749,73.48564288,96.65649514
40397,110010049012,93.05607281,30.0061989,23.86265874,40.25865272,39.83813927,1.924964066,35.94663175,22.71678486,21.75566142,0.721172825,47.93068215,47.67151785,5.989778092
40398,110010049021,88.11300356,83.28947321,83.71554655,76.76634697,76.57503521,94.7861209,75.29678324,85.0110218,79.77352201,98.09037292,73.67858194,73.14883424,86.60524408
40399,110010049022,93.05085996,44.16273052,42.25742472,52.80249296,52.75513948,6.332578066,40.45960024,37.32476119,41.05063523,2.638407765,55.51487099,55.47748229,16.10260507
40400,110010050011,92.36144807,11.57922448,16.24462972,32.30374057,32.03077406,1.027424693,33.72208485,18.22011271,17.80893063,0.393108583,42.37225778,41.95293777,4.157990445
40401,110010050012,94.64686051,26.91108357,38.20779957,50.7367431,50.60686264,5.412509829,38.14104525,35.71835781,36.54023602,2.122977496,54.25293224,54.20574502,11.18747345
40402,110010050021,92.09824982,86.33217132,92.98728013,88.88822715,88.56213225,99.25795417,78.14617454,91.85788946,85.20059687,99.74946698,85.3516639,84.14896085,94.8490761
40403,110010050022,93.36507489,22.13322687,10.19068449,24.86004371,24.63678492,0.212095229,31.77856118,13.50862254,16.29300356,0.207615024,36.1182916,35.55132975,2.271503068
40404,110010050023,88.39186567,23.95441534,28.18861894,44.61467431,44.28275512,1.95556743,36.25765918,26.76117666,28.24886488,0.916322308,50.62361041,50.49095716,11.88954326
40405,110010050024,84.73709665,78.51438222,77.07343334,70.16906472,69.97750266,96.20111905,74.02057572,79.77604597,73.41666057,96.76331546,68.12119961,67.84222,80.14380946
40406,110010052011,94.86665785,11.79266788,7.97261704,20.84545914,20.62433384,0.126259001,30.22434169,11.9167663,15.15600926,0.148000293,32.06108708,31.49106482,1.309466865
40407,110010052012,95.22325574,1.825571491,3.029049106,10.20539583,10.13586924,0.141122865,27.19183464,7.737036387,9.776351867,0.064360837,19.56039573,18.94557574,0.507084646
